"1","1","1","PAGI","1","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","00:00",,,"2018-02-28"
"2","1A","1","PAGI-A","0","06:00","15:00","06:00","15:00","06:00","15:00","06:00","15:00","06:00","15:00","06:00","15:00",,,"2018-12-23"
"3","2","1","SIANG","0","13:00","22:00","13:00","22:00","13:00","22:00","13:00","22:00","13:00","22:00","13:00","22:00","13:00","22:00","2018-12-28"
"4","2A","1","SIANG-A","0","14:00","23:00","14:00","23:00","14:00","23:00","14:00","23:00","14:00","23:00","14:00","23:00",,,"2019-03-12"
"5","2B","1","SIANG-B","0","15:00","00:00","15:00","00:00","15:00","00:00","15:00","00:00","15:00","00:59","15:00","00:39",,,"2019-03-12"
"6","3","1","MALAM","0","20:00","05:00","20:00","05:00","20:00","05:00","20:00","05:00","20:00","05:00","20:00","05:00",,,"2019-03-12"
"7","3A","1","MALAM-A","0","21:00","06:00","21:00","06:00","21:00","06:00","21:00","06:00","21:00","06:00","21:00","06:00",,,"2019-03-12"
"8","3B","1","MALAM-B","0","22:00","07:00","22:00","07:00","22:00","07:00","22:00","07:00","22:00","07:00","22:00","07:00",,,"2019-03-12"
